year_month,product,price,category
202108,菜花,4.73,蔬菜
202108,生姜,8.44,蔬菜
202108,香菇,11.66,蔬菜
202108,蒜苔,7.11,蔬菜
202108,平菇,8.14,蔬菜
202108,大葱,3.29,蔬菜
202108,韭菜,3.95,蔬菜
202108,西葫芦,3.02,蔬菜
202108,洋白菜,1.83,蔬菜
202108,油菜,3.76,蔬菜
202108,菠菜,7.63,蔬菜
202108,冬瓜,1.42,蔬菜
202108,大蒜,7.14,蔬菜
202108,生菜,5.33,蔬菜
202108,莲藕,8.94,蔬菜
202108,南瓜,2.17,蔬菜
202108,葱头,2.31,蔬菜
202108,大白菜,2.03,蔬菜
202108,土豆,2.08,蔬菜
202109,芹菜,4.49,蔬菜
202109,西红柿,4.06,蔬菜
202109,豆角,6.01,蔬菜
202109,白萝卜,1.79,蔬菜
202109,茄子,3.39,蔬菜
202109,胡萝卜,2.33,蔬菜
202109,黄瓜,4,蔬菜
202109,莴笋,4.01,蔬菜
202109,青椒,3.93,蔬菜
202109,菜花,4.48,蔬菜
202109,生姜,7.45,蔬菜
202109,香菇,11.36,蔬菜
202109,蒜苔,7.24,蔬菜
202109,平菇,7.86,蔬菜
202109,大葱,3.89,蔬菜
202109,韭菜,4.15,蔬菜
202109,西葫芦,3.47,蔬菜
202109,洋白菜,1.97,蔬菜
202109,油菜,3.95,蔬菜
202109,菠菜,6.69,蔬菜
202109,冬瓜,1.49,蔬菜
202109,大蒜,7.29,蔬菜
202109,生菜,5.07,蔬菜
202109,莲藕,7.30,蔬菜
202109,南瓜,2.13,蔬菜
202109,葱头,2.30,蔬菜
202109,大白菜,1.91,蔬菜
202109,土豆,2.12,蔬菜
202110,芹菜,5.13,蔬菜
202110,西红柿,4.54,蔬菜
202110,豆角,7.85,蔬菜
202110,白萝卜,2.66,蔬菜
202110,茄子,4.87,蔬菜
202110,胡萝卜,2.56,蔬菜
202110,黄瓜,7.18,蔬菜
202110,莴笋,4.37,蔬菜
202110,青椒,4.68,蔬菜
202110,菜花,5.11,蔬菜
202110,生姜,6.89,蔬菜
202110,香菇,11.64,蔬菜
202110,蒜苔,7.72,蔬菜
202110,平菇,8.02,蔬菜
202110,大葱,4.79,蔬菜
202110,韭菜,5.28,蔬菜
202110,西葫芦,5.32,蔬菜
202110,洋白菜,2.81,蔬菜
202110,油菜,4.94,蔬菜
202110,菠菜,9.72,蔬菜
202110,冬瓜,1.70,蔬菜
202110,大蒜,7.70,蔬菜
202110,生菜,5.85,蔬菜
202110,莲藕,6.86,蔬菜
202110,南瓜,2.20,蔬菜
202110,葱头,2.36,蔬菜
202110,大白菜,2.07,蔬菜
202110,土豆,2.19,蔬菜
202111,芹菜,5.92,蔬菜
202111,西红柿,5.17,蔬菜
202111,豆角,9.85,蔬菜
202111,白萝卜,2.58,蔬菜
202111,茄子,6.25,蔬菜
202111,胡萝卜,3.17,蔬菜
202111,黄瓜,7.22,蔬菜
202111,莴笋,4.25,蔬菜
202111,青椒,6.86,蔬菜
202111,菜花,7.32,蔬菜
202111,生姜,6.58,蔬菜
202111,香菇,11.49,蔬菜
202111,蒜苔,8.41,蔬菜
202111,平菇,7.11,蔬菜
202111,大葱,6.32,蔬菜
202111,韭菜,6.23,蔬菜
202111,西葫芦,5.31,蔬菜
202111,洋白菜,3.77,蔬菜
202111,油菜,4.68,蔬菜
202111,菠菜,8.28,蔬菜
202111,冬瓜,2.21,蔬菜
202111,大蒜,8.11,蔬菜
202111,生菜,6.45,蔬菜
202111,莲藕,6.61,蔬菜
202111,南瓜,2.58,蔬菜
